Title,Author,Publisher,Year,ISBN,Status,BorrowDate,CurrUserID
"Harry Potter and the Sorcerer's Stone","J.K. Rowling","Bloomsbury",1997,978-0747532699,available,N/A,""
"1984","George Orwell","Secker & Warburg",1949,978-0451524935,available,N/A,""
"The Hobbit","J.R.R. Tolkien","Allen & Unwin",1937,978-0618968633,available,N/A,""
"The Great Gatsby","F. Scott Fitzgerald","Charles Scribner's Sons",1925,978-0743273565,available,N/A,""
"To Kill a Mockingbird","Harper Lee","J.B. Lippincott & Co.",1960,978-0061120084,available,N/A,""
"The Da Vinci Code","Dan Brown","Doubleday",2003,978-0385504201,available,N/A,""
"War and Peace","Leo Tolstoy","The Russian Messenger",1869,978-1400079988,available,N/A,""
"Adventures of Huckleberry Finn","Mark Twain","Chatto & Windus",1885,978-0486280615,available,N/A,""
"Pride and Prejudice","Jane Austen","T. Egerton",1813,978-1503290563,available,N/A,""
"The Odyssey","Homer","Ancient Greece",-800,978-0140268867,available,N/A,""
